Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Ivan Perišić,35,Midfielder,Tottenham Hotspur,Premier League,Croatia,9.059278350515465,,,,62.0,,,22.58,,540.0,745.0,,,,16.36,24.06,,,,,,,,,,,1.42,0.38,2.09,47.0
Ivan Toney,28,Forward,Brentford,Premier League,England,9.34278350515464,,,,,,,22.45,,,,,,,14.0,14.08,,,,0.42,2.35,1.23,1.43,2.27,6.62,148.0,,,,
Jack Grealish,28,Midfielder,Manchester City,Premier League,England,9.234536082474229,,,,74.0,,,35.11,,862.0,983.0,,,,30.79,37.62,,,,,,,,,,,1.79,0.52,2.18,50.0
Jack Harrison,27,Midfielder,Leeds United,Premier League,England,9.020618556701033,,,,76.0,,,25.37,,633.0,888.0,,,,18.09,21.51,,,,,,,,,,,1.51,0.4,1.8,53.0
Jacob Ramsey,22,Midfielder,Aston Villa,Premier League,England,8.796391752577321,,,,76.0,,,24.2,,708.0,847.0,,,,20.23,24.06,,,,,,,,,,,1.2,0.44,1.43,42.0
James Maddison,27,Midfielder,Leicester City,Premier League,England,9.31958762886598,,,,83.0,,,33.79,,781.0,980.0,,,,26.93,29.35,,,,,,,,,,,2.34,0.69,2.56,68.0
James Tarkowski,31,Defender,Everton,Premier League,England,9.033505154639176,195.0,74.0,3.05,90.0,41.49,1.05,41.49,0.46,1239.0,1535.0,,,,,,,,,,,,,,,,,,,
James Ward-Prowse,29,Midfielder,Southampton,Premier League,England,9.221649484536083,,,,89.0,,,49.43,,1560.0,1829.0,,,,42.16,42.77,,,,,,,,,,,2.03,0.35,2.06,75.0
Jarrod Bowen,27,Forward,West Ham United,Premier League,England,8.721649484536083,,,,,,,18.0,,,,,,,13.16,14.23,,,,0.76,1.03,0.6,1.51,1.91,4.69,540.0,,,,
Jefferson Lerma,29,Midfielder,AFC Bournemouth,Premier League,Colombia,8.811855670103094,,,,88.0,,,42.17,,1248.0,1518.0,,,,34.67,35.48,,,,,,,,,,,0.5,0.14,0.51,18.0
Jeffrey Schlupp,31,Midfielder,Crystal Palace,Premier League,Ghana,8.811855670103094,,,,75.0,,,25.09,,607.0,803.0,,,,18.97,22.95,,,,,,,,,,,0.41,0.14,0.49,13.0
Joachim Andersen,27,Defender,Crystal Palace,Premier League,Denmark,6.984536082474228,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
João Palhinha,28,Midfielder,Fulham,Premier League,Portugal,8.907216494845361,,,,89.0,,,35.35,,996.0,1202.0,,,,29.29,29.65,,,,,,,,,,,0.15,0.09,0.15,5.0
Joe Worrall,27,Defender,Nottingham Forest,Premier League,England,8.610824742268044,109.0,22.0,2.09,74.0,43.71,1.07,36.72,0.41,836.0,1065.0,,,,,,,,,,,,,,,,,,,
